Protein.Group;DMSO_cultbatch1_rep1;DMSO_cultbatch1_rep2;DMSO_cultbatch1_rep3;DMSO_cultbatch1_rep4;DMSO_cultbatch1_rep5;DMSO_cultbatch1_rep6;DMSO_cultbatch2_rep1;DMSO_cultbatch2_rep2;DMSO_cultbatch2_rep3;DMSO_cultbatch2_rep4;DMSO_cultbatch2_rep5;DMSO_cultbatch2_rep6;CAP_cultbatch1_rep1;CAP_cultbatch1_rep2;CAP_cultbatch1_rep3;CAP_cultbatch1_rep4;CAP_cultbatch1_rep5;CAP_cultbatch1_rep6;CAP_cultbatch2_rep1;CAP_cultbatch2_rep2;CAP_cultbatch2_rep3;CAP_cultbatch2_rep4;CAP_cultbatch2_rep5;CAP_cultbatch2_rep6
Q86XZ4;17332;17748.9;15706.4;16616.5;15893.5;17265.4;14313.3;12983.2;14324.1;12810.1;12145.6;11616.2;14353.9;14319;13552.8;13842.2;12559.6;12087.1;8767.06;8070.37;8599.42;9016.99;8804.96;8448.89
Q86Y07;1002.01;1162.74;1681.02;2159.95;2479.26;1365.5;;;1858.86;2629.47;;;1634.76;1159.48;1601.35;1708.04;1530.16;1448.82;;;;1291.07;2273.68;
Q86Y39;23767.4;27330;25505.1;28418.1;24475.2;24346.4;11507.9;10710.2;11753;12034.9;11844.8;13819.4;26082.5;23241.6;24457.6;33547.3;31701;31643.5;20656.7;15469.4;18286.8;20562.6;16093.7;18702.6
Q86Y56;16300.7;16752.7;15300.1;17765.6;17024.7;15161.4;13540.1;17494.9;15389.1;15846;17317;17846.9;14819.9;14892.4;14918.7;15376.7;16583.7;14356.9;19232.5;14038;18982.1;17617.4;18971.3;21057.4
Q86Y79;8292.02;7301.01;6976.73;5145.71;6399.69;6656.44;12205.9;8508.52;10934.6;10274.7;7963.44;12543;9298;9255.24;7667.96;6273.69;5586;7173.63;11270.1;12942.8;11658.1;11631.6;11480.1;12291.5
Q86Y82;42599.3;40670.2;35647.5;34864.4;32902.1;37093.2;41230.2;26813.8;43071.3;45260;36689.8;44955.2;39009.2;37843.9;35932.5;33619.7;32542.4;38215.4;33611;41494.5;32979.5;43078.2;42393.3;29791.2
Q86YP4;19365.9;17862.1;13906.4;16020.4;15172.4;18018;34628.8;30558.6;34126.5;32679.9;30557.1;28165.3;18201.3;17836;13355.6;11344.1;13133.2;15367.3;25094.2;26447.1;24375.7;26704.4;27284.1;22939.4
Q86YS6;8142.76;6189.51;6286.68;6961.18;5013.23;6236.88;7523.14;8501.46;7867.11;6908.97;8852.02;7782.53;7046.63;9133.95;5870.67;9956.59;4577.01;5880.72;5438.24;4933.25;7013.84;6123.93;6890.65;8348.1
Q86YV5;1877.79;3039.03;2262.8;2929.64;;2306.4;949.889;;;;;;2127.79;425.155;2667.33;;2111.42;1161.09;;;;;;
Q86YZ3;35940.8;24787.3;12251.8;;37412.3;14760.5;7894.78;21722.2;100687;2858.76;29661.5;;4044.84;;6686.54;7155.62;2328.04;3676.76;11015.4;3959.67;85961.3;6914.95;8419.83;
Q8IU81;7623.51;5530.1;5868.84;6199.41;5813.47;6839.74;7858.1;6827.11;7427.5;6894.65;6760.92;7192.05;5712.89;5930.78;4566.14;4304.62;5672.73;5125;6915.39;7009.4;5339.68;6801.12;6762.98;6791.1
Q8IUC4;6454.51;8589.85;6216.38;6017.68;6466.03;5189.07;14173.5;14292.2;10190.9;11635.9;10931.6;9121.49;7068.19;5417.62;6410.61;5238.22;6103.35;4995.67;10114.7;7920.86;7891.87;7970.01;7655.48;7679.92
Q8IUD2;14386.7;11788;8585.65;8924.5;9345.74;10162.5;12666.8;12608.9;12318.3;12066.7;12597.3;13337.6;11854.2;11533.4;7244.11;7194.77;7216.76;9078.36;12571.7;10821.6;12649.1;12998.8;12256.5;11143.2
Q8IUE6;227158;247992;203262;191472;154789;209778;296515;222993;248591;217426;275397;230980;257362;249505;227275;166909;180744;201323;249056;262867;229623;277396;287602;265684
Q8IUF8;11427;10117.8;9577.55;9976.89;7572.79;8965.06;19881.8;21858.6;19387.1;18279.4;20526;19788.3;12855.4;12291.6;7873.51;10559.1;7144.5;7841.29;22428.2;24002.3;23737;21643.7;27036.3;23641.8
Q8IUH4;8699.92;8250.54;7555.7;7924.33;6762.43;7668.73;15114.4;19753.2;11553.9;11658.5;8646.35;9858.39;8107.96;6377.64;6694.12;6719.43;7925.46;7934.93;12044.3;11645.5;10071.5;12785.6;12783.3;9929.6
Q8IUI8;1473.24;2363.03;1745.64;2858.84;1855.99;2576.62;5925.57;2475.32;4753.24;2910.92;;;3135.59;2969.41;2100.85;;1600.53;2308.75;7113.58;3266.31;3779.85;2699.02;;
Q8IUR0;9489.46;9972.1;7714.99;7689.96;7304.68;7421.7;2688.18;;4569.96;4962.07;5579.85;5893.38;6763.83;5649.43;4220.41;6440.56;6379.7;5960.97;7265.96;2538.45;2726.33;5691.25;4542.04;5471
Q8IUR7;9687.84;10395.7;5851.57;4848.04;6717.78;7299.2;9186.42;7083.42;9373.43;7310.13;8895.46;8387.8;10430;10111.3;6202.23;7358.22;6207.63;6947.74;10737.3;8852.9;9363.58;10830.9;9910.58;9862.33
Q8IUX1;5005.18;5388.42;5346.16;3430.33;4163.36;3888.49;6227.89;11191.7;8035.78;5859.9;10551.8;8454.56;3855.84;4531.11;4671.27;3510.63;3196.19;3482.57;7117.47;11553.8;8819.73;10766.7;11155.3;12461.8
Q8IV08;28348;28065.7;17458.9;18008.5;16749.7;19385.3;38546.9;44169.2;33080.9;38363.7;43735.3;36718.9;18004.1;16983.7;13093.4;11117.3;19684.1;12097.4;40261.1;37849.2;37588.1;32590.3;38592.2;42185.5
Q8IV36;6338.72;6512.33;6947.58;6726.43;6253.8;6552.02;5512.54;1306.31;6548.18;5437.27;5392.86;5658.44;6903.83;7547.7;7990.54;7376.8;9424.77;7733.88;6316.48;7988.5;6264.1;7340.17;6070.6;5950.5
Q8IV63;13782.6;14152.1;7890.35;8950.36;8110.22;12305.1;12299.3;9892.61;11480.6;12272.5;13785.6;13088.2;7614.7;8499.9;5131.07;4469.85;5254.25;6716.76;9298.92;8235.45;8824.1;10861.4;9662.12;9166.92
Q8IVD9;18146.7;18955.5;15956.4;17233.6;16493.5;17923.1;22567;16740.7;23931.2;22540;20562.4;23348;16289.3;16678.9;15240.8;15852.7;14070.2;15640;16244.6;21702.1;19554.1;20246.8;19735.8;20459.5
Q8IVF2;46205.6;43244.1;34819.9;36067.2;33370.4;35324.4;23693.7;27664;26434.7;26259;26010.1;26190;46658.7;42552.4;36167.3;37158.7;36006;37945.6;28281.5;26978.7;27960.9;29309.3;28369;26779.4
Q8IVH8;12051.6;11680.2;9172.05;12831.4;10452;11099.1;7526.22;;;7762.06;8324.03;7024.62;14360.9;15965.9;14507.5;14982.8;18754.3;17641.4;7457.37;9185.37;7807.46;8032.22;9318.64;6937.31
Q8IVL1;1568.54;;;1819.92;2214.23;1502.55;;;;;1803.07;;;;;;;;;1160.21;;;;
Q8IVM0;85420.2;75474.7;35476.5;37775.7;39159.4;52898.8;30444.4;42529.9;28713.8;29309.9;31787.8;28384.5;66875.2;68322.4;33883.4;23166.7;27853.8;35790.1;25683.5;22932.9;23954.1;24547;20066.3;24715.7
Q8IVS2;16533;15777.9;14527.9;13142.8;13581.1;16451.9;24031.2;58351.1;24974.3;25532.2;50123;27903;16936.2;16580.8;18475.9;13053;14397.5;15547;31982;28784.2;33040.7;30628.9;34253.5;62759.4
Q8IVT2;41260.2;43908.5;44775;41683.6;42211;39221.4;62370.6;63367.1;61299.4;55874.7;53220.9;57068.6;45271.2;41887.3;42447.9;39786.3;36144.3;39806.2;45856.1;41306.5;42826.6;47827.1;46750;45466.9
Q8IW45;3972.6;4102.77;2170.54;1645.86;1759.8;3305.36;3445.73;2506.46;4664.24;3600.18;4151.13;2606.43;4085.53;4928.6;2116.55;1609.55;1392.28;3822.1;5155.39;5707.22;6589.39;5767.33;4346.76;3744.97
Q8IWA0;13089.2;12523.8;12973.5;13057;15225.8;16438.2;8529.04;9592.62;10146.6;11948.3;10757.1;13144.6;13841;14517;13820;14367;14648;17679.2;13818.5;12812;17042.3;14996.8;16170.5;18320.5
Q8IWA4;8546.37;8579.92;7673.23;7427.44;7626.11;7440.58;7272.47;;7340.39;6657.69;;7546.81;7241.31;6749.91;5568.55;6307.31;5358.27;6165.44;5792.16;5545.19;7154.09;6293.97;11386.5;5589.68
